Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AssociatorTestSuite,,,,2021-05-08 22:29:04,2021-05-08 22:29:06,1.961s,PASSED
,,,,,,,
Test Cases/junittest/AssociatorTestRunner,,,,2021-05-08 22:29:05,2021-05-08 22:29:06,0.663s,PASSED
Start listener action : beforeTestCase,,,,2021-05-08 22:29:05,2021-05-08 22:29:05,0.058s,PASSED
JUnitCustomKeywords.runWithJUnitRunner(com.kazurayam.ks.testobject.AssociatorTest),,,,2021-05-08 22:29:05,2021-05-08 22:29:06,0.411s,PASSED
