Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AssociatorTestSuite,,,,2021-05-08 23:46:54,2021-05-08 23:46:57,2.308s,FAILED
,,,,,,,
Test Cases/junittest/AssociatorTestRunner,,,,2021-05-08 23:46:56,2021-05-08 23:46:57,0.889s,FAILED
Start listener action : beforeTestCase,,,,2021-05-08 23:46:56,2021-05-08 23:46:56,0.049s,PASSED
JUnitCustomKeywords.runWithJUnitRunner(com.kazurayam.ks.testobject.AssociatorTest),,,,2021-05-08 23:46:56,2021-05-08 23:46:57,0.640s,FAILED
