Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AssociatorTestSuite,,,,2021-05-08 23:54:08,2021-05-08 23:54:11,2.068s,FAILED
,,,,,,,
Test Cases/junittest/AssociatorTestRunner,,,,2021-05-08 23:54:10,2021-05-08 23:54:11,0.836s,FAILED
Start listener action : beforeTestCase,,,,2021-05-08 23:54:10,2021-05-08 23:54:10,0.020s,PASSED
JUnitCustomKeywords.runWithJUnitRunner(com.kazurayam.ks.testobject.AssociatorTest),,,,2021-05-08 23:54:10,2021-05-08 23:54:11,0.552s,FAILED
