Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AssociatorTestSuite,,,,2021-05-08 22:22:03,2021-05-08 22:22:05,1.897s,PASSED
,,,,,,,
Test Cases/junittest/AssociatorTestRunner,,,,2021-05-08 22:22:05,2021-05-08 22:22:05,0.644s,PASSED
Start listener action : beforeTestCase,,,,2021-05-08 22:22:05,2021-05-08 22:22:05,0.043s,PASSED
JUnitCustomKeywords.runWithJUnitRunner(com.kazurayam.ks.testobject.AssociatorTest),,,,2021-05-08 22:22:05,2021-05-08 22:22:05,0.358s,PASSED
