Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AssociatorTestSuite,,,,2021-05-08 22:29:40,2021-05-08 22:29:42,2.091s,PASSED
,,,,,,,
Test Cases/junittest/AssociatorTestRunner,,,,2021-05-08 22:29:42,2021-05-08 22:29:42,0.655s,PASSED
Start listener action : beforeTestCase,,,,2021-05-08 22:29:42,2021-05-08 22:29:42,0.028s,PASSED
JUnitCustomKeywords.runWithJUnitRunner(com.kazurayam.ks.testobject.AssociatorTest),,,,2021-05-08 22:29:42,2021-05-08 22:29:42,0.390s,PASSED
