Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AssociatorTestSuite,,,,2021-05-08 22:28:00,2021-05-08 22:28:02,1.906s,PASSED
,,,,,,,
Test Cases/junittest/AssociatorTestRunner,,,,2021-05-08 22:28:01,2021-05-08 22:28:02,0.780s,PASSED
Start listener action : beforeTestCase,,,,2021-05-08 22:28:01,2021-05-08 22:28:01,0.035s,PASSED
JUnitCustomKeywords.runWithJUnitRunner(com.kazurayam.ks.testobject.AssociatorTest),,,,2021-05-08 22:28:01,2021-05-08 22:28:02,0.459s,PASSED
