Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AssociatorTestSuite,,,,2021-05-08 23:33:08,2021-05-08 23:33:10,2.252s,FAILED
,,,,,,,
Test Cases/junittest/AssociatorTestRunner,,,,2021-05-08 23:33:09,2021-05-08 23:33:10,1.036s,FAILED
Start listener action : beforeTestCase,,,,2021-05-08 23:33:09,2021-05-08 23:33:09,0.041s,PASSED
JUnitCustomKeywords.runWithJUnitRunner(com.kazurayam.ks.testobject.AssociatorTest),,,,2021-05-08 23:33:10,2021-05-08 23:33:10,0.707s,FAILED
