Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AssociatorTestSuite,,,,2021-05-08 23:30:10,2021-05-08 23:30:12,1.800s,PASSED
,,,,,,,
Test Cases/junittest/AssociatorTestRunner,,,,2021-05-08 23:30:11,2021-05-08 23:30:12,0.660s,PASSED
Start listener action : beforeTestCase,,,,2021-05-08 23:30:11,2021-05-08 23:30:11,0.020s,PASSED
JUnitCustomKeywords.runWithJUnitRunner(com.kazurayam.ks.testobject.AssociatorTest),,,,2021-05-08 23:30:11,2021-05-08 23:30:12,0.409s,PASSED
