Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AssociatorTestSuite,,,,2021-05-08 22:34:25,2021-05-08 22:34:27,1.764s,PASSED
,,,,,,,
Test Cases/junittest/AssociatorTestRunner,,,,2021-05-08 22:34:26,2021-05-08 22:34:27,0.646s,PASSED
Start listener action : beforeTestCase,,,,2021-05-08 22:34:26,2021-05-08 22:34:26,0.019s,PASSED
JUnitCustomKeywords.runWithJUnitRunner(com.kazurayam.ks.testobject.AssociatorTest),,,,2021-05-08 22:34:26,2021-05-08 22:34:27,0.391s,PASSED
