Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AssociatorTestSuite,,,,2021-05-08 23:37:22,2021-05-08 23:37:24,1.900s,FAILED
,,,,,,,
Test Cases/junittest/AssociatorTestRunner,,,,2021-05-08 23:37:23,2021-05-08 23:37:24,0.785s,FAILED
Start listener action : beforeTestCase,,,,2021-05-08 23:37:23,2021-05-08 23:37:23,0.047s,PASSED
JUnitCustomKeywords.runWithJUnitRunner(com.kazurayam.ks.testobject.AssociatorTest),,,,2021-05-08 23:37:23,2021-05-08 23:37:24,0.518s,FAILED
