Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AssociatorTestSuite,,,,2021-05-08 21:51:51,2021-05-08 21:51:53,2.015s,FAILED
,,,,,,,
Test Cases/junittest/AssociatorTestRunner,,,,2021-05-08 21:51:52,2021-05-08 21:51:53,0.733s,FAILED
Start listener action : beforeTestCase,,,,2021-05-08 21:51:52,2021-05-08 21:51:52,0.022s,PASSED
JUnitCustomKeywords.runWithJUnitRunner(com.kazurayam.ks.testobject.AssociatorTest),,,,2021-05-08 21:51:52,2021-05-08 21:51:53,0.529s,FAILED
