Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AssociatorTestSuite,,,,2021-05-08 21:49:21,2021-05-08 21:49:23,2.548s,FAILED
,,,,,,,
Test Cases/junittest/AssociatorTestRunner,,,,2021-05-08 21:49:22,2021-05-08 21:49:23,1.032s,FAILED
Start listener action : beforeTestCase,,,,2021-05-08 21:49:22,2021-05-08 21:49:22,0.051s,PASSED
JUnitCustomKeywords.runWithJUnitRunner(com.kazurayam.ks.testobject.AssociatorTest),,,,2021-05-08 21:49:22,2021-05-08 21:49:23,0.709s,FAILED
